date,workplaces,residential
15/02/2020,2,1
16/02/2020,2,1
17/02/2020,2,1
18/02/2020,2,1
19/02/2020,2,1
20/02/2020,1,1
21/02/2020,-1,1
22/02/2020,3,1
23/02/2020,4,1
24/02/2020,3,1
25/02/2020,3,1
26/02/2020,3,1
27/02/2020,3,1
28/02/2020,1,1
29/02/2020,5,0
01/03/2020,4,1
02/03/2020,4,1
03/03/2020,4,1
04/03/2020,3,2
05/03/2020,3,2
06/03/2020,0,3
07/03/2020,4,2
08/03/2020,-1,3
09/03/2020,-1,4
10/03/2020,-2,4
11/03/2020,-2,4
12/03/2020,-3,5
13/03/2020,-2,5
14/03/2020,2,4
15/03/2020,-4,5
16/03/2020,-6,6
17/03/2020,-9,7
18/03/2020,-11,9
19/03/2020,-12,11
20/03/2020,-12,11
21/03/2020,-8,10
22/03/2020,-17,13
23/03/2020,-20,14
24/03/2020,-28,17
25/03/2020,-35,21
26/03/2020,-40,25
27/03/2020,-52,25
28/03/2020,-56,28
29/03/2020,-45,26
30/03/2020,-46,25
31/03/2020,-46,25
01/04/2020,-46,25
02/04/2020,-47,28
03/04/2020,-44,22
04/04/2020,-37,21
05/04/2020,-57,31
06/04/2020,-56,30
07/04/2020,-55,30
08/04/2020,-55,30
09/04/2020,-55,33
10/04/2020,-49,23
11/04/2020,-45,24
12/04/2020,-55,30
13/04/2020,-55,30
14/04/2020,-55,30
15/04/2020,-56,31
16/04/2020,-55,34
17/04/2020,-48,23
18/04/2020,-45,24
19/04/2020,-54,30
20/04/2020,-55,30
21/04/2020,-55,30
22/04/2020,-55,30
23/04/2020,-55,32
24/04/2020,-47,24
25/04/2020,-41,25
26/04/2020,-49,30
27/04/2020,-48,30
28/04/2020,-48,28
29/04/2020,-47,29
30/04/2020,-47,31
01/05/2020,-41,22
02/05/2020,-34,22
03/05/2020,-45,27
04/05/2020,-45,28
05/05/2020,-45,27
06/05/2020,-44,28
07/05/2020,-44,30
08/05/2020,-38,21
09/05/2020,-31,22
10/05/2020,-42,27
11/05/2020,-43,28
12/05/2020,-43,28
13/05/2020,-43,28
14/05/2020,-43,29
15/05/2020,-35,21
16/05/2020,-29,21
17/05/2020,-41,27
18/05/2020,-42,27
19/05/2020,-42,27
20/05/2020,-44,28
21/05/2020,-43,30
22/05/2020,-33,21
23/05/2020,-47,25
24/05/2020,-77,36
25/05/2020,-73,34
26/05/2020,-63,31
27/05/2020,-38,23
28/05/2020,-37,25
29/05/2020,-29,19
30/05/2020,-20,16
31/05/2020,-32,20
01/06/2020,-32,20
02/06/2020,-32,21
03/06/2020,-32,21
04/06/2020,-31,23
05/06/2020,-26,17
06/06/2020,-18,16
07/06/2020,-30,20
08/06/2020,-29,20
09/06/2020,-29,20
10/06/2020,-30,20
