date,workplaces,residential
15/02/2020,3,0
16/02/2020,-1,0
17/02/2020,17,-2
18/02/2020,14,-1
19/02/2020,13,-1
20/02/2020,13,-2
21/02/2020,16,-3
22/02/2020,3,-1
23/02/2020,-2,0
24/02/2020,17,-1
25/02/2020,15,-1
26/02/2020,14,-1
27/02/2020,14,-1
28/02/2020,17,-3
29/02/2020,4,-1
01/03/2020,-1,0
02/03/2020,10,0
03/03/2020,15,-1
04/03/2020,14,-1
05/03/2020,13,0
06/03/2020,16,-2
07/03/2020,2,0
08/03/2020,-2,0
09/03/2020,-14,4
10/03/2020,13,-1
11/03/2020,14,-1
12/03/2020,13,-1
13/03/2020,14,-1
14/03/2020,3,2
15/03/2020,-1,2
16/03/2020,12,1
17/03/2020,5,3
18/03/2020,2,5
19/03/2020,0,5
20/03/2020,0,6
21/03/2020,-4,7
22/03/2020,-12,6
23/03/2020,-6,8
24/03/2020,-19,12
25/03/2020,-23,14
26/03/2020,-27,16
27/03/2020,-26,17
28/03/2020,-27,15
29/03/2020,-33,13
30/03/2020,-32,16
31/03/2020,-36,18
01/04/2020,-37,19
02/04/2020,-38,20
03/04/2020,-36,20
04/04/2020,-33,17
05/04/2020,-36,14
06/04/2020,-37,17
07/04/2020,-39,19
08/04/2020,-39,19
09/04/2020,-40,18
10/04/2020,-82,33
11/04/2020,-41,18
12/04/2020,-43,15
13/04/2020,-78,27
14/04/2020,-42,19
15/04/2020,-41,20
16/04/2020,-41,20
17/04/2020,-39,20
18/04/2020,-30,16
19/04/2020,-34,14
20/04/2020,-35,17
21/04/2020,-37,18
22/04/2020,-37,18
23/04/2020,-37,19
24/04/2020,-35,18
25/04/2020,-43,17
26/04/2020,-32,13
27/04/2020,-39,17
28/04/2020,-34,16
29/04/2020,-34,11
30/04/2020,-34,18
01/05/2020,-31,18
02/05/2020,-27,13
03/05/2020,-29,11
04/05/2020,-41,17
05/05/2020,-31,16
06/05/2020,-31,16
07/05/2020,-31,16
08/05/2020,-28,16
09/05/2020,-23,12
10/05/2020,-24,9
11/05/2020,-27,14
12/05/2020,-28,15
13/05/2020,-27,15
14/05/2020,-28,15
15/05/2020,-27,15
16/05/2020,-22,9
17/05/2020,-24,8
18/05/2020,-24,13
19/05/2020,-25,14
20/05/2020,-25,15
21/05/2020,-26,15
22/05/2020,-23,14
23/05/2020,-19,10
24/05/2020,-23,9
25/05/2020,-22,12
26/05/2020,-20,12
27/05/2020,-20,13
28/05/2020,-20,13
29/05/2020,-19,12
30/05/2020,-14,8
31/05/2020,-18,8
01/06/2020,-24,12
02/06/2020,-18,12
03/06/2020,-18,12
04/06/2020,-18,11
05/06/2020,-17,10
06/06/2020,-14,6
07/06/2020,-18,5
08/06/2020,-52,14
09/06/2020,-18,10
10/06/2020,-17,11
11/06/2020,-16,11
12/06/2020,-15,10
13/06/2020,-8,7
14/06/2020,-14,7
15/06/2020,-14,9
16/06/2020,-16,10
17/06/2020,-16,10
18/06/2020,-16,10
19/06/2020,-15,9
20/06/2020,-8,6
21/06/2020,-13,6
22/06/2020,-16,9
23/06/2020,-18,10
24/06/2020,-16,10
25/06/2020,-16,9
26/06/2020,-15,9
27/06/2020,-9,6
28/06/2020,-12,6
