date,workplaces,residential
15/02/2020,6,0
16/02/2020,0,1
17/02/2020,19,-1
18/02/2020,15,-1
19/02/2020,14,-1
20/02/2020,15,-2
21/02/2020,13,-1
22/02/2020,-4,0
23/02/2020,-3,1
24/02/2020,-45,8
25/02/2020,-61,10
26/02/2020,-18,6
27/02/2020,10,1
28/02/2020,13,1
29/02/2020,5,3
01/03/2020,-1,5
02/03/2020,20,0
03/03/2020,15,-1
04/03/2020,16,-1
05/03/2020,18,-2
06/03/2020,18,-2
07/03/2020,7,0
08/03/2020,3,1
09/03/2020,21,-2
10/03/2020,17,-2
11/03/2020,17,-1
12/03/2020,17,-2
13/03/2020,18,-2
14/03/2020,6,1
15/03/2020,0,3
16/03/2020,14,1
17/03/2020,3,4
18/03/2020,-6,7
19/03/2020,-17,10
20/03/2020,-21,13
21/03/2020,-30,16
22/03/2020,-34,17
23/03/2020,-42,20
24/03/2020,-51,22
25/03/2020,-52,23
26/03/2020,-50,22
27/03/2020,-48,23
28/03/2020,-41,19
29/03/2020,-34,17
30/03/2020,-43,20
31/03/2020,-45,19
01/04/2020,-45,20
02/04/2020,-45,20
03/04/2020,-42,20
04/04/2020,-35,16
05/04/2020,-30,15
06/04/2020,-38,18
07/04/2020,-40,17
08/04/2020,-40,18
09/04/2020,-41,16
10/04/2020,-72,27
11/04/2020,-36,16
12/04/2020,-26,13
13/04/2020,-35,17
14/04/2020,-39,18
15/04/2020,-38,18
16/04/2020,-38,18
17/04/2020,-36,19
18/04/2020,-28,15
19/04/2020,-25,14
20/04/2020,-39,17
21/04/2020,-67,23
22/04/2020,-34,17
23/04/2020,-36,18
24/04/2020,-32,18
25/04/2020,-25,15
26/04/2020,-23,14
27/04/2020,-30,17
28/04/2020,-33,13
29/04/2020,-32,17
30/04/2020,-31,14
01/05/2020,-66,25
02/05/2020,-27,15
03/05/2020,-21,13
04/05/2020,-27,15
05/05/2020,-31,16
06/05/2020,-31,16
07/05/2020,-31,16
08/05/2020,-28,16
09/05/2020,-19,13
10/05/2020,-5,10
11/05/2020,-27,16
12/05/2020,-31,16
13/05/2020,-31,17
14/05/2020,-31,16
15/05/2020,-29,18
16/05/2020,-21,15
17/05/2020,-16,14
18/05/2020,-26,16
19/05/2020,-29,16
20/05/2020,-31,17
21/05/2020,-31,17
22/05/2020,-28,17
23/05/2020,-20,15
24/05/2020,-17,14
25/05/2020,-34,18
26/05/2020,-28,16
27/05/2020,-27,16
28/05/2020,-27,16
29/05/2020,-24,16
30/05/2020,-12,12
31/05/2020,-8,12
01/06/2020,-21,14
02/06/2020,-25,15
03/06/2020,-24,16
04/06/2020,-24,15
05/06/2020,-21,15
06/06/2020,-11,12
07/06/2020,-6,12
08/06/2020,-19,14
09/06/2020,-23,14
10/06/2020,-22,13
11/06/2020,-51,20
12/06/2020,-27,15
13/06/2020,-11,12
14/06/2020,-5,12
15/06/2020,-19,14
16/06/2020,-22,14
17/06/2020,-22,15
18/06/2020,-22,14
19/06/2020,-20,14
20/06/2020,-7,11
21/06/2020,-1,11
22/06/2020,-19,14
23/06/2020,-22,14
24/06/2020,-24,15
25/06/2020,-22,14
26/06/2020,-20,15
27/06/2020,-12,14
28/06/2020,-5,13
29/06/2020,-19,14
30/06/2020,-22,13
01/07/2020,-22,13
02/07/2020,-22,14
03/07/2020,-19,14
04/07/2020,-7,11
05/07/2020,-3,11
06/07/2020,-18,13
07/07/2020,-22,13
08/07/2020,-21,13
09/07/2020,-21,13
10/07/2020,-18,13
11/07/2020,-7,10
12/07/2020,-3,10
13/07/2020,-17,13
14/07/2020,-21,13
15/07/2020,-20,14
16/07/2020,-20,14
17/07/2020,-17,13
18/07/2020,-6,11
19/07/2020,-2,10
20/07/2020,-16,12
21/07/2020,-20,13
22/07/2020,-18,13
23/07/2020,-18,13
24/07/2020,-16,13
25/07/2020,-6,10
26/07/2020,-2,10
27/07/2020,-16,12
28/07/2020,-19,12
29/07/2020,-19,13
30/07/2020,-19,13
31/07/2020,-15,12
01/08/2020,-4,10
02/08/2020,-1,9
03/08/2020,-14,11
04/08/2020,-18,12
05/08/2020,-17,12
06/08/2020,-17,11
07/08/2020,-13,10
08/08/2020,-1,7
09/08/2020,9,6
10/08/2020,-14,10
11/08/2020,-17,11
12/08/2020,-16,12
13/08/2020,-16,11
14/08/2020,-13,11
15/08/2020,-5,9
16/08/2020,-3,9
17/08/2020,-13,11
18/08/2020,-15,11
19/08/2020,-15,11
20/08/2020,-16,11
21/08/2020,-14,12
22/08/2020,-4,10
23/08/2020,0,10
24/08/2020,-10,11
25/08/2020,-14,10
26/08/2020,-13,10
27/08/2020,-12,10
28/08/2020,-10,9
29/08/2020,1,7
30/08/2020,2,7
31/08/2020,-10,9
01/09/2020,-13,9
02/09/2020,-12,9
03/09/2020,-12,9
04/09/2020,-9,8
05/09/2020,-2,4
06/09/2020,-1,5
07/09/2020,-61,14
08/09/2020,-15,7
09/09/2020,-11,9
10/09/2020,-11,8
11/09/2020,-9,9
12/09/2020,2,6
13/09/2020,3,6
14/09/2020,-7,9
15/09/2020,-11,10
16/09/2020,-11,10
17/09/2020,-10,9
18/09/2020,-7,9
19/09/2020,2,7
20/09/2020,1,8
21/09/2020,-9,10
22/09/2020,-13,11
23/09/2020,-10,10
24/09/2020,-9,10
25/09/2020,-6,9
26/09/2020,4,7
27/09/2020,3,7
28/09/2020,-6,10
29/09/2020,-9,9
30/09/2020,-9,8
01/10/2020,-7,7
02/10/2020,-5,7
03/10/2020,3,5
04/10/2020,2,6
05/10/2020,-6,7
06/10/2020,-8,6
07/10/2020,-7,7
08/10/2020,-6,7
09/10/2020,-5,7
10/10/2020,5,4
11/10/2020,6,5
12/10/2020,-59,12
13/10/2020,-8,6
14/10/2020,-7,9
15/10/2020,-8,8
16/10/2020,-4,8
17/10/2020,7,6
18/10/2020,6,7
19/10/2020,-7,9
20/10/2020,-7,8
21/10/2020,-5,9
22/10/2020,-5,8
23/10/2020,-2,8
24/10/2020,7,6
25/10/2020,6,7
26/10/2020,-3,8
27/10/2020,-6,8
28/10/2020,-5,8
29/10/2020,-4,7
30/10/2020,-7,8
31/10/2020,5,5
01/11/2020,4,6
02/11/2020,-61,15
03/11/2020,-6,6
04/11/2020,-5,8
05/11/2020,-4,7
06/11/2020,-1,6
07/11/2020,10,4
08/11/2020,9,5
09/11/2020,-2,7
10/11/2020,-5,7
11/11/2020,-4,8
12/11/2020,-4,7
13/11/2020,-1,6
14/11/2020,10,4
15/11/2020,22,2
16/11/2020,-3,7
17/11/2020,-5,8
18/11/2020,-5,9
19/11/2020,-5,8
20/11/2020,-13,9
21/11/2020,6,5
22/11/2020,6,5
23/11/2020,-1,7
24/11/2020,-5,7
25/11/2020,-3,8
26/11/2020,-3,7
27/11/2020,0,6
28/11/2020,10,4
29/11/2020,11,4
30/11/2020,-1,7
01/12/2020,-4,7
02/12/2020,-2,7
03/12/2020,-2,7
04/12/2020,1,6
05/12/2020,10,4
06/12/2020,7,6
07/12/2020,-2,7
08/12/2020,-10,8
09/12/2020,-2,7
10/12/2020,-2,7
11/12/2020,0,7
12/12/2020,11,5
13/12/2020,10,6
14/12/2020,0,7
15/12/2020,-3,6
16/12/2020,-2,7
17/12/2020,-2,6
18/12/2020,1,5
19/12/2020,13,3
20/12/2020,18,5
21/12/2020,-3,5
22/12/2020,-9,5
23/12/2020,-9,4
24/12/2020,-33,7
25/12/2020,-70,15
26/12/2020,-18,10
27/12/2020,1,8
28/12/2020,-15,10
29/12/2020,-19,9
30/12/2020,-19,7
31/12/2020,-40,9
01/01/2021,-71,15
02/01/2021,-28,11
03/01/2021,-1,6
04/01/2021,-10,8
05/01/2021,-12,8
06/01/2021,-10,9
07/01/2021,-9,8
08/01/2021,-6,8
09/01/2021,5,6
10/01/2021,6,6
11/01/2021,-5,7
12/01/2021,-10,7
13/01/2021,-10,7
14/01/2021,-13,6
15/01/2021,-12,6
16/01/2021,-4,5
17/01/2021,-4,5
18/01/2021,-11,7
19/01/2021,-14,7
20/01/2021,-15,8
21/01/2021,-11,7
22/01/2021,-9,7
23/01/2021,-1,6
24/01/2021,-1,6
25/01/2021,-13,8
26/01/2021,-11,7
27/01/2021,-10,8
28/01/2021,-9,7
29/01/2021,-6,6
30/01/2021,-2,6
31/01/2021,-1,5
01/02/2021,-6,6
02/02/2021,-11,6
03/02/2021,-8,6
04/02/2021,-8,6
05/02/2021,-5,5
06/02/2021,0,5
07/02/2021,-1,5
08/02/2021,-5,5
09/02/2021,-8,6
10/02/2021,-6,6
11/02/2021,-7,6
12/02/2021,-4,5
13/02/2021,-1,5
14/02/2021,0,6
15/02/2021,-23,8
16/02/2021,-31,10
17/02/2021,-12,7
18/02/2021,-6,6
19/02/2021,-4,6
20/02/2021,2,5
21/02/2021,1,6
22/02/2021,-3,6
23/02/2021,-7,6
24/02/2021,-6,7
25/02/2021,-5,7
26/02/2021,-3,7
27/02/2021,-2,8
28/02/2021,-4,8
01/03/2021,-6,8
02/03/2021,-10,8
03/03/2021,-9,8
04/03/2021,-9,8
05/03/2021,-7,8
06/03/2021,-8,9
07/03/2021,-9,10
08/03/2021,-9,9
09/03/2021,-13,9
10/03/2021,-11,9
11/03/2021,-11,9
12/03/2021,-9,10
13/03/2021,-9,10
14/03/2021,-9,10
15/03/2021,-10,10
16/03/2021,-15,10
17/03/2021,-15,12
18/03/2021,-16,12
19/03/2021,-15,12
20/03/2021,-11,11
21/03/2021,-11,12
22/03/2021,-12,11
23/03/2021,-16,12
24/03/2021,-16,12
25/03/2021,-16,12
26/03/2021,-16,13
27/03/2021,-12,12
28/03/2021,-12,12
29/03/2021,-16,13
30/03/2021,-20,12
31/03/2021,-18,12
01/04/2021,-20,10
02/04/2021,-65,23
03/04/2021,-18,11
04/04/2021,-5,8
05/04/2021,-9,10
06/04/2021,-13,11
07/04/2021,-12,11
08/04/2021,-11,10
09/04/2021,-8,10
10/04/2021,-3,9
11/04/2021,-6,10
12/04/2021,-6,10
13/04/2021,-10,10
14/04/2021,-9,10
15/04/2021,-8,10
16/04/2021,-5,10
17/04/2021,-1,9
18/04/2021,-3,10
19/04/2021,-3,9
20/04/2021,-7,8
21/04/2021,-51,19
22/04/2021,-5,9
23/04/2021,-5,10
24/04/2021,2,8
25/04/2021,1,9
26/04/2021,0,9
27/04/2021,-5,9
28/04/2021,-4,9
29/04/2021,-3,9
30/04/2021,0,7
01/05/2021,-22,10
02/05/2021,2,8
03/05/2021,0,8
04/05/2021,-3,8
05/05/2021,-3,8
06/05/2021,-2,7
07/05/2021,2,7
08/05/2021,7,5
09/05/2021,18,4
10/05/2021,0,7
11/05/2021,-3,8
12/05/2021,-3,9
13/05/2021,-4,9
14/05/2021,0,8
15/05/2021,4,7
16/05/2021,6,8
17/05/2021,3,8
18/05/2021,-1,8
19/05/2021,-1,8
20/05/2021,0,8
21/05/2021,3,8
22/05/2021,6,8
23/05/2021,6,9
24/05/2021,2,9
25/05/2021,0,8
26/05/2021,0,8
27/05/2021,1,8
28/05/2021,5,8
29/05/2021,9,7
30/05/2021,6,9
31/05/2021,5,9
01/06/2021,1,8
02/06/2021,2,6
03/06/2021,-47,16
04/06/2021,-8,9
05/06/2021,6,7
06/06/2021,7,7
07/06/2021,5,8
08/06/2021,2,8
09/06/2021,3,8
10/06/2021,3,8
11/06/2021,6,7
12/06/2021,10,6
