date,workplaces,residential
15/02/2020,1,3
16/02/2020,-3,4
17/02/2020,0,5
18/02/2020,2,2
19/02/2020,1,2
20/02/2020,1,2
21/02/2020,0,5
22/02/2020,-4,9
23/02/2020,-9,8
24/02/2020,-6,8
25/02/2020,-10,10
26/02/2020,-11,9
27/02/2020,-10,9
28/02/2020,-12,13
29/02/2020,-10,12
01/03/2020,-16,11
02/03/2020,-8,9
03/03/2020,-9,8
04/03/2020,-11,10
05/03/2020,-9,9
06/03/2020,-9,10
07/03/2020,-8,11
08/03/2020,-14,9
09/03/2020,-6,8
10/03/2020,-9,9
11/03/2020,-8,8
12/03/2020,-7,8
13/03/2020,-7,9
14/03/2020,-5,9
15/03/2020,-12,9
16/03/2020,-6,8
17/03/2020,-6,6
18/03/2020,-7,7
19/03/2020,-7,9
20/03/2020,-6,8
21/03/2020,-5,7
22/03/2020,-12,7
23/03/2020,-5,7
24/03/2020,-6,5
25/03/2020,-8,7
26/03/2020,-7,8
27/03/2020,-8,10
28/03/2020,-7,8
29/03/2020,-12,6
30/03/2020,-6,7
31/03/2020,-5,5
01/04/2020,-8,7
02/04/2020,-6,7
03/04/2020,-6,7
04/04/2020,-8,7
05/04/2020,-13,6
06/04/2020,-3,6
07/04/2020,-4,5
08/04/2020,-6,6
09/04/2020,-4,6
10/04/2020,-5,7
11/04/2020,-7,6
12/04/2020,-13,7
13/04/2020,-3,6
14/04/2020,-3,2
15/04/2020,-50,17
16/04/2020,-4,6
17/04/2020,-6,9
18/04/2020,-4,6
19/04/2020,-12,7
20/04/2020,-2,6
21/04/2020,-2,4
22/04/2020,-4,6
23/04/2020,-2,5
24/04/2020,-2,6
25/04/2020,-4,5
26/04/2020,-8,3
27/04/2020,-1,4
28/04/2020,-1,1
29/04/2020,-3,-2
30/04/2020,-54,11
01/05/2020,-46,13
02/05/2020,-15,2
03/05/2020,-9,1
04/05/2020,-18,5
05/05/2020,-56,14
06/05/2020,-1,3
07/05/2020,-1,2
08/05/2020,-1,3
09/05/2020,-7,7
10/05/2020,-5,3
11/05/2020,0,3
12/05/2020,-1,2
13/05/2020,-2,3
14/05/2020,-2,2
15/05/2020,-5,5
16/05/2020,-4,4
17/05/2020,-4,2
18/05/2020,-2,5
19/05/2020,-2,3
20/05/2020,-3,2
21/05/2020,-2,2
22/05/2020,-2,3
23/05/2020,-2,2
24/05/2020,-6,3
25/05/2020,-1,3
26/05/2020,-1,1
27/05/2020,-2,1
28/05/2020,-1,2
29/05/2020,-1,2
30/05/2020,-3,2
31/05/2020,-4,2
01/06/2020,0,2
02/06/2020,0,1
03/06/2020,-1,2
04/06/2020,0,2
05/06/2020,-2,2
06/06/2020,-15,3
07/06/2020,-5,1
08/06/2020,1,1
09/06/2020,1,0
10/06/2020,-1,2
11/06/2020,0,2
12/06/2020,-1,2
13/06/2020,-6,4
14/06/2020,-7,3
15/06/2020,2,1
16/06/2020,2,0
17/06/2020,0,1
18/06/2020,0,2
