date,workplaces,residential
15/02/2020,2,-1
16/02/2020,0,-1
17/02/2020,-24,5
18/02/2020,0,1
19/02/2020,1,0
20/02/2020,0,1
21/02/2020,0,0
22/02/2020,4,-1
23/02/2020,2,-1
24/02/2020,3,0
25/02/2020,2,0
26/02/2020,2,-1
27/02/2020,2,0
28/02/2020,2,-1
29/02/2020,4,-2
01/03/2020,3,-1
02/03/2020,3,-1
03/03/2020,2,-1
04/03/2020,3,-1
05/03/2020,3,-1
06/03/2020,2,-1
07/03/2020,5,-1
08/03/2020,2,-1
09/03/2020,0,0
10/03/2020,-2,1
11/03/2020,-1,0
12/03/2020,-3,1
13/03/2020,-7,3
14/03/2020,-1,3
15/03/2020,-7,3
16/03/2020,-20,8
17/03/2020,-27,11
18/03/2020,-31,13
19/03/2020,-33,15
20/03/2020,-36,16
21/03/2020,-24,12
22/03/2020,-31,11
23/03/2020,-41,17
24/03/2020,-45,19
25/03/2020,-46,19
26/03/2020,-47,20
27/03/2020,-46,21
28/03/2020,-34,15
29/03/2020,-38,12
30/03/2020,-48,19
31/03/2020,-49,20
01/04/2020,-49,20
02/04/2020,-50,21
03/04/2020,-50,22
04/04/2020,-37,15
05/04/2020,-40,13
06/04/2020,-50,20
07/04/2020,-51,21
08/04/2020,-51,21
09/04/2020,-52,22
10/04/2020,-56,24
11/04/2020,-38,14
12/04/2020,-45,13
13/04/2020,-51,21
14/04/2020,-50,20
15/04/2020,-49,20
16/04/2020,-49,21
17/04/2020,-48,22
18/04/2020,-33,14
19/04/2020,-37,11
20/04/2020,-48,19
21/04/2020,-49,20
22/04/2020,-49,20
23/04/2020,-49,21
24/04/2020,-48,21
25/04/2020,-32,12
26/04/2020,-36,11
27/04/2020,-46,18
28/04/2020,-48,12
29/04/2020,-47,19
30/04/2020,-47,19
01/05/2020,-45,18
02/05/2020,-29,10
03/05/2020,-31,8
04/05/2020,-44,16
05/05/2020,-45,17
06/05/2020,-44,17
07/05/2020,-44,17
08/05/2020,-43,18
09/05/2020,-26,9
10/05/2020,-27,7
11/05/2020,-42,16
12/05/2020,-43,16
13/05/2020,-42,16
14/05/2020,-43,17
15/05/2020,-42,16
16/05/2020,-24,9
17/05/2020,-25,8
18/05/2020,-40,15
19/05/2020,-41,15
20/05/2020,-41,15
21/05/2020,-41,15
22/05/2020,-41,15
23/05/2020,-21,7
24/05/2020,-24,5
25/05/2020,-72,20
26/05/2020,-39,14
27/05/2020,-38,14
28/05/2020,-38,14
29/05/2020,-37,14
30/05/2020,-12,6
31/05/2020,-16,5
01/06/2020,-37,12
02/06/2020,-37,13
03/06/2020,-37,13
04/06/2020,-37,13
05/06/2020,-36,13
06/06/2020,-13,5
07/06/2020,-16,4
08/06/2020,-36,11
09/06/2020,-36,12
10/06/2020,-36,12
11/06/2020,-36,12
12/06/2020,-35,11
13/06/2020,-10,4
14/06/2020,-13,3
15/06/2020,-35,11
16/06/2020,-36,11
17/06/2020,-36,11
18/06/2020,-36,11
19/06/2020,-36,9
20/06/2020,-11,3
21/06/2020,-13,2
22/06/2020,-38,11
23/06/2020,-38,11
24/06/2020,-36,11
25/06/2020,-36,11
26/06/2020,-36,11
27/06/2020,-12,4
28/06/2020,-12,3
29/06/2020,-36,10
30/06/2020,-37,11
01/07/2020,-37,10
02/07/2020,-39,10
03/07/2020,-57,14
04/07/2020,-28,5
05/07/2020,-19,3
06/07/2020,-41,11
07/07/2020,-39,11
08/07/2020,-37,11
09/07/2020,-38,11
10/07/2020,-37,11
11/07/2020,-12,4
12/07/2020,-15,3
13/07/2020,-38,10
14/07/2020,-38,11
15/07/2020,-37,11
16/07/2020,-37,11
17/07/2020,-37,11
18/07/2020,-13,4
19/07/2020,-16,3
20/07/2020,-38,10
21/07/2020,-38,11
22/07/2020,-37,11
23/07/2020,-37,11
24/07/2020,-37,11
25/07/2020,-13,4
26/07/2020,-16,3
27/07/2020,-38,10
28/07/2020,-38,11
29/07/2020,-38,10
30/07/2020,-38,11
31/07/2020,-37,10
01/08/2020,-14,4
02/08/2020,-17,3
03/08/2020,-38,10
04/08/2020,-39,11
05/08/2020,-37,10
06/08/2020,-37,10
07/08/2020,-37,10
08/08/2020,-13,3
09/08/2020,-16,2
10/08/2020,-38,9
11/08/2020,-38,10
12/08/2020,-37,10
13/08/2020,-37,10
14/08/2020,-37,10
15/08/2020,-14,3
16/08/2020,-17,3
17/08/2020,-38,9
18/08/2020,-36,10
19/08/2020,-36,10
20/08/2020,-36,10
21/08/2020,-36,9
22/08/2020,-12,3
23/08/2020,-15,3
24/08/2020,-36,10
25/08/2020,-37,10
26/08/2020,-35,10
27/08/2020,-36,10
28/08/2020,-35,9
29/08/2020,-13,4
30/08/2020,-15,2
31/08/2020,-35,9
01/09/2020,-36,9
02/09/2020,-35,9
03/09/2020,-35,8
04/09/2020,-36,8
05/09/2020,-17,2
06/09/2020,-18,1
07/09/2020,-71,16
08/09/2020,-37,9
09/09/2020,-35,9
10/09/2020,-35,9
11/09/2020,-33,8
12/09/2020,-12,3
13/09/2020,-15,3
14/09/2020,-32,8
15/09/2020,-33,9
16/09/2020,-33,9
17/09/2020,-33,9
18/09/2020,-32,8
19/09/2020,-11,2
20/09/2020,-14,2
21/09/2020,-33,9
22/09/2020,-33,9
23/09/2020,-32,9
24/09/2020,-32,9
25/09/2020,-31,8
26/09/2020,-10,2
27/09/2020,-13,2
28/09/2020,-32,9
29/09/2020,-32,9
30/09/2020,-32,8
01/10/2020,-30,8
02/10/2020,-30,8
03/10/2020,-11,2
04/10/2020,-14,2
05/10/2020,-32,8
06/10/2020,-32,8
07/10/2020,-31,8
08/10/2020,-31,9
09/10/2020,-31,8
10/10/2020,-11,3
11/10/2020,-14,3
12/10/2020,-37,10
13/10/2020,-32,9
14/10/2020,-30,9
15/10/2020,-31,9
16/10/2020,-31,9
17/10/2020,-11,3
18/10/2020,-14,3
19/10/2020,-31,9
20/10/2020,-31,9
21/10/2020,-30,9
22/10/2020,-30,9
23/10/2020,-30,9
24/10/2020,-10,3
25/10/2020,-15,4
26/10/2020,-31,10
27/10/2020,-31,10
28/10/2020,-30,10
29/10/2020,-31,10
30/10/2020,-30,8
31/10/2020,-10,3
01/11/2020,-15,4
02/11/2020,-31,9
03/11/2020,-33,9
04/11/2020,-30,10
05/11/2020,-30,10
06/11/2020,-29,9
07/11/2020,-10,4
08/11/2020,-14,4
09/11/2020,-31,10
10/11/2020,-31,10
11/11/2020,-38,12
12/11/2020,-32,11
13/11/2020,-30,11
14/11/2020,-10,5
15/11/2020,-15,5
16/11/2020,-31,10
17/11/2020,-32,11
18/11/2020,-32,11
19/11/2020,-31,11
20/11/2020,-30,11
21/11/2020,-10,5
22/11/2020,-14,5
23/11/2020,-35,11
24/11/2020,-36,11
25/11/2020,-40,10
26/11/2020,-81,23
27/11/2020,-60,19
28/11/2020,-18,7
29/11/2020,-16,6
30/11/2020,-34,12
01/12/2020,-33,11
02/12/2020,-32,11
03/12/2020,-32,11
04/12/2020,-30,12
05/12/2020,-9,6
06/12/2020,-14,5
07/12/2020,-33,11
08/12/2020,-32,11
09/12/2020,-32,11
10/12/2020,-32,11
11/12/2020,-31,12
12/12/2020,-10,6
13/12/2020,-15,6
14/12/2020,-33,11
15/12/2020,-33,11
16/12/2020,-34,13
17/12/2020,-37,14
18/12/2020,-32,12
19/12/2020,-10,6
20/12/2020,-13,5
21/12/2020,-37,10
22/12/2020,-38,10
23/12/2020,-40,10
24/12/2020,-61,16
25/12/2020,-83,27
26/12/2020,-26,9
27/12/2020,-18,7
28/12/2020,-44,14
29/12/2020,-45,14
30/12/2020,-44,14
31/12/2020,-52,15
01/01/2021,-75,27
02/01/2021,-21,9
03/01/2021,-17,7
04/01/2021,-34,12
05/01/2021,-34,12
06/01/2021,-33,13
07/01/2021,-33,13
08/01/2021,-32,13
09/01/2021,-12,8
10/01/2021,-17,7
11/01/2021,-33,12
12/01/2021,-33,12
13/01/2021,-33,12
14/01/2021,-33,12
15/01/2021,-33,13
16/01/2021,-14,7
17/01/2021,-18,6
18/01/2021,-46,14
19/01/2021,-34,12
20/01/2021,-33,12
21/01/2021,-32,12
22/01/2021,-31,12
23/01/2021,-13,7
